,cluster_label,tags,tags_keybert,content
10,169,['affordable energy'],"['skypesolar', 'solar', 'refrigeration', 'gmail', 'electricity', 'environmental']","Faisal Abdi Ahimed

Faisal Abdi Ahimed
skypesolar@gmail.com +2519120095635
Yes, sky power enterprise
Making somali region green with environmental clean solar energy, that replaces fossil fuel. It solves energy poverty to the community residing in rural areas. It is energy storage system /battery that could support TV, radio, refrigeration, lightening...with 3 years warranty and service is based on prepaid scheme for planned electricity consumptions 
The technology is readily available in high source of solar energy area 9Somali region of Ethiopia. This enterprise generate solar energy from installed solar energy generators and supply batteries based on prepaid schemes
1000
none
Lack of means of recycling of toxic components of this solar energy solution. Used batteries to be collected by the supplier itself over expaned areas of rural settings.
https://usadf.gov/story/260#:~:text=Sky%20Power%2C%20an%20African%20enterprise,is%20meeting%20those%20market%20needs
No separate link 
DIY / open source
Yes
Product
Available in market
Advance order has to be given"
11,228,"['nature-based solutions', 'sustainable fashion', 'natural ingredient']","['biochromes', 'bacteria', 'female', 'colouring', 'pigments', 'exploring', 'technology', 'craftsmanship', 'alternatives', 'colour', 'alternative', 'insect', 'techniques', 'explore', 'plant', 'rashdan', 'solution', 'bridging', 'processing', 'current']","Biochromes
Solution holder: Batoul Al-Rashdan

Exploring colouring alternatives to the current ones. Bridging craftsmanship techniques and technology, to explore alternative colour sources and their processing. Ranging from plant based, insect base and bacteria based pigments.
https://class.textile-academy.org/2022/batoul-rashdan/assignments/week04/

Female"
12,481,"['single use plastic', 'waste management']","['comercialización', 'seguridades', 'plásticos', 'empaquetado', 'plástica', 'reciclaje', 'recicladores', 'condiciones', 'recuperación', 'productos', 'contenedor', 'huella', 'organizaciones', 'ambientales', 'herramienta', 'luego', 'riesgos', 'organización', 'covid', 'atractivos']","Huella Plástica
""Incentivar mediante CAMPAÑAS a las organizaciones y empresas que puedan medirse la huella plástica que están causando por el transporte, comercialización y entrega de sus productos; además esto estará de la mano del análisis del tipo de empaquetado que están usando.
Seguido esta fase incentivará a las personas a que separen sus residuos plásticos para que luego mediante el uso de un aplicativo web e inclusión de los recicladores con todas las protecciones y seguridades que actualmente no tienen se pueda recoger este material plásticos en un contenedor para continuar con el proceso de valorización.
Los recicladores generarán indicadores de recuperación del material que luego se convertirá en “bonos plásticos” que al igual que un bono de carbono lo que busca es que las organizaciones con huella alta puedan compensar a través de la adquisición de esta herramienta. en este contexto la actividad del reciclaje no será vista desde las condiciones precarias que actualmente se desarrollan, sino que dispondrán de indicadores que son atractivos a una organización que quiere gestionar sus riesgos ambientales"".
idea
ecuador covid-19 postcrisis hackathon finalist"
13,271,"['renewable energy', 'solar energy', 'sustainable energy']","['solardevelopmentplc', 'email', 'solar', 'pumps', 'merkato', 'usd', 'plc', 'irrigation', 'pump', 'future', 'com', 'market', 'pumping', 'bahirdar']","Future pump

Future pump - solar Development PLC
Sarbet main branch:
Email: info@solardevelopmentplc.com
Tel: +251-113-712-377
Lideta Branch:
Email: lideta@solardevelopmentplc.com
Tel: +251-911-230-848
Bahir Dar Branch:
Email: bahirdar@solardevelopmentplc.com
Tel: +251-582-201-688
Merkato Branch:
Email: merkato@solardevelopmentplc.com
Tel: +251-989-824-523
No
Solar pumping for small scale irrigation
USD 1000
Market viable product
About 100 pumps sold in Ethiopia
NA
No

IP protected
Yes
Product
Available in market"
14,174,"['agriculture', 'climate change']","['herbs', 'farming', 'spices', 'kitchen', 'crops', 'garden']","Flood free farming- Traditional Knowledge

A raised organic garden to grow all kinds of herbs and spices for the kitchen. Usually a bamboo or wooden board is installed, on which layers of leaves and soil are placed to plant the preferred selection of herbs. This is an ancient practice of Afro communities in the northern province of Esmeraldas to protect crops from animals and floods. In addition, the eras allow families to grow crops without necessarily having fertile land or soil, so it could be applied in cities."
15,0,"['renewable energy', 'clean cooking', 'design']","['firewood', 'stove', 'cooking']","Improved Bio-Stove
Mr. Khandira Baruah
Jorhat, Assam
Profile Innovator Mr. Khandira Baruah is from the Sonitpur district of Assam. He is inclined to innovative ideas and technologies from childhood. He also loves to write poems. Purpose In rural areas, firewood is being used as a primary source of fuel for cooking. However, due to ignorance and also by culture, a huge amount of heat energy gets wasted during cooking. Mr. Baruah came up with a new design of stove for the sustainable utilization of heat energy produced from firewood and other bio-resources for heat. Technical details This is a two-chambered innovative stove separated by a metallic circular plate from one chamber to the other. The upper chamber is meant for putting fuel resources in it. A dome-shaped metallic burner with an opening on the top is being placed on the upper fuel chamber which checks the airflow from the outer surroundings. Then the stove is placed above the burner. Above the whole arrangement, a circular metallic plate is being placed which protects the heat release from the firewood. After the complete set of the tool, the left out or waste biomaterial resources are kept into the upper chamber. With the help of a candle or match stick, the fire is set on the resources. Once the fire sets, other bioresources such as cow dung, unused wood materials, etc. are added into the existing burning fuel. The temperature of the heat can be regulated with the help of a regulator placed just beneath the upper chamber. The regulator is a flat circular plate having holes in it. The lower chamber is meant for collecting ashes released from the burnt biomaterial. The size and shape of the burners vary and can be used according to the need. Benefits It has a regulator that controls the temperature. All types of conventional fuel sources can be used in this stove. The fuel consumption of this stove is also very less.

Product"
16,54,"['energy efficiency', 'energy saving', 'women in energy sector']","['stove', 'cookstoves', 'bakers', 'kirkos', 'pot', 'chimney', 'restaurants', 'peter', 'office', 'chamber', 'ababa', 'david', 'ministry', 'aethiopien', 'addis', 'woreda', 'rural', 'otieno', 'households', 'wb']","Mirt stove 

Ministry of Water and Energy - GIZ 
Office contact GIZ Office Ethiopia Country Director Peter Palesch giz-aethiopien@giz.de or David Otieno david.otieno@giz.de Office address GIZ Office Ethiopia Kazanchis, Kirkos Sub City, Woreda 08 Addis Ababa 00251-11-5180200 00251-11-5540764 giz-aethiopien@giz.de 
Yes
Mirt stove made of cement, with expansion chamber and pot-rest, 4 cylindrical enclosure parts of 6 cm thickness, no chimney, developed by the Ministry of Water and Energy in the mid of 90ies, for households, can be found almost all over Ethiopia in urban and rural areas mainly for households, also by commercial injera bakers and sometimes by restaurants. stove-tests done by GIZ, by Approved, by the Ministry of Water and Energy, by ESD (company in UK commissioned by WB project)
20 USD
scale up
About 1,388,456 people benefit from energy-efficient cookstoves 
https://blogs.worldbank.org/developmenttalk/do-households-use-improved-cook-stoves-what-are-benefits-ethiopian-case-study 
no

No
DIY / open source
Yes
Product
Available in market"
17,0,"['cooking', 'environment friendly', 'clean cooking', 'oven']","['stove', 'cooking', 'kerosene', 'kitchen', 'cooker', 'cook', 'frying', 'biomass', 'coal', 'maharashtra', 'pot', 'innovators', 'bread', 'agriculture', 'pune', 'indoor', 'technologies', 'food', 'combustion', 'youtube']","Sarai Stove
Mr. R. M. Salunkhe, Dr. K. Dutta,
Pune, Maharashtra
Profile Innovators Mr. R. M. Salunkhe and Dr. K. Dutta are from Pune district of Maharashtra. They are working with an NGO working for rural development through the implementation of innovative technologies in the field of non-conventional energy sources and agriculture. Purpose Mr. Salunkhe and Dr. Dutta have developed an innovative stove for fuel-saving, time-saving, and to improve the indoor air quality of the rural kitchen. Technical details The 'Sarai Stove' consists of four parts. All parts are made of mild steel. Combustion chamber: It is an open-ended cylinder, with an aluminum lining from inside. There is a door on the inside, and a series of holes along the periphery at the bottom. The holes serve as air inlets. There are two clamps on the side near the top for holding the outer jacket. Fuel holder This is a mild steel cylinder with an open top and a cast iron grate at the bottom. Solid fuel in the form of wood chips, coal, charcoal, biomass briquettes, etc. are placed in the holder, which in turn is placed inside the combustion chamber through its side door. Outer jacket It is an open-ended cylinder that fits on the top of the combustion chamber. There are two rows of holes circumscribing the cylinder near the top. Cooker with lid The cooker is a cylindrical vessel that can be inserted into the outer jacket, leaving an annular space of just about 2.5-3 mm between the walls of the two. It has a wide rim at the top, which seals up the annular space. The lid fits snugly into the open top of the cooker. To operate the stove, the fuel holder loaded with fuel is inserted into the combustion chamber. The outer jacket is fitted on to the chamber, and the cooker is inserted into it. About 200 ml of water is poured into the cooker and the cooking vessels are stacked in it, one on top of the other. The lid is closed and the fire is started. The air required for combustion of the fuel enters from the holes at the bottom of the combustion chamber and is sucked into the fuel stack through the grate at the bottom of the fuel holder. The hot gases and flames emitted by the fire pass through the annular space between the outer jacket and the cooker, and come out through the holes near the top of the outer jacket. The heat is conducted into the cooker through its bottom and walls and converts the water inside into the steam. The cooker fills up with steam and generates a sufficiently high temperature within the cooker to cook the food. Because of the fuel placed in the burner is limited, the stove extinguishes itself after a certain time. The food inside the vessel remains hot after the fire goes out due to the double jacket surrounding it. For frying or bread making, the outer jacket can be detached from the combustion chamber and the chamber can be used as a portable single pot stove. Performance The stove can be operated on any solid biomass fuel. Only 100 g of the charcoal is required to prepare food for 4-5 persons. The stove design is optimized for good combustion efficiency hence, cooking takes place in a smokeless environment. The outer jacket also can be used with a gas or kerosene stove, to increase fuel efficiency. Benefits The stove has higher fuel efficiency and it is smokeless. It increases the indoor air quality of the rural kitchen. Suggested Reading(s): YouTube, (2011). Sarai cooking stove, ARTI. Retrieved on February 8, 2021, from https://www.youtube.com/watch?v=De4HJ0BJzA8 YouTube, (2017). Steam cooking system - suryansh enterprise. Retrieved on February 8, 2021, from https://www.youtube.com/watch?v=odpLRY40bIE YouTube, (2018). Samuchit steam cooker stove. Retrieved on February 8, 2021, from https://www.youtube.com/watch?v=ryfZjjbWY8I

Product"
18,249,"['environmental education', 'water management', 'flooding', 'Weather']","['hydrometeorological', 'waterlogging', 'flooding', 'floods', 'flood', 'twitter', 'argentina', 'rains', 'research', 'science', 'aires', 'collaborative', 'email']","Citizen science on flooding and waterlogging risk management
Collaborative project: Citizens participate in data collection and analysis.
Overall goal: Enhance social stakeholders’ knowledge in southwestern Buenos Aires, Argentina, with respect to the risk of heavy rains, overflows, and floods, and encourage their participation in flood risk management processes. Specific goals: Determine the population's perception and knowledge of flood and waterlogging hazards. Produce data and information and promote actions for flood risk management together with citizens and with the collaboration of different stakeholders. Raise flood hazard awareness by stressing the importance of knowledge and information regarding risks and their management. Encourage debate and reflection based on the perceptions and experiences of local stakeholders on flooding events. Add new features to InundApp which will enhance its use for flood risk management purposes. Promote InundApp as a technological tool that integrates the culture of prevention in the population' s everyday life. Foster cooperation among participating organizations by defining coordination mechanisms in the event of actual or potential flooding events.
Description of citizen participation Citizens participate mainly in: 1) Defining scenarios and building knowledge related to flood and waterlogging risks in the area, through two types of interactive participatory workshops: institutional (including specific activities aimed at some of the stakeholders in relation to their risk management role) and inter-institutional (aimed at members of all participating organizations with different risk management roles, which favors experience sharing). Activities are planned in two phases, in agreement with disaster risk management. The first stage involves knowledge and awareness of flood issues. The second stage consists of implementing techniques with a Participatory Action Research approach. 2) Producing data and phenomenon monitoring using a free mobile phone application (InundApp) easily installed and used. Thus, citizens can quickly report hydrometeorological events and affected elements in their immediate surroundings (collaborative mapping), by uploading text and capturing photographs. The application can be used to indicate which phenomenon is occurring and its effects. 
Time frame. 5/26/2017 - N/A.
Project leaders. • Jorge Osvaldo Gentili, National University of the South (UNS) and the National Scientific and Technical Research Council (CONICET). • María Eugenia Fernández, UNS and CONICET. • Belén Moretto, UNS and CONICET.
Contact information.Email: jogentili@uns.edu.ar; eugenia.fernandez@uns.edu.ar; belen.moretto@uns.edu.ar Twitter: twitter.com/InundApp"
19,751,"['better livelihood', 'waste management', 'women empowerment']",['maize'],"Home and Hotel Decorations from Recycled Raffia palm and maize leaves
Likalo training centre leveraging the potential of women and youth to drive circular economy initiatives 
Locally sourced Materials (Plastic Waste, Rafia & Maize Peel) for Interior decorations

Mr Tchaback Thomas is passionate about recycling waste materials to produce objects for decoration. He targets women and young girls from the extreme north region of the country considered the poorest region of the country. His economic empowerment approach is based on his belief that Africa's development has to lay emphasis on the capacity of Africans...He believes in combining knowledge and will to existing resources to boost innovation. In Thomas' words, ""innovation brings empowerment and autonomy even to the least educated"".
https://www.facebook.com/erichristianya/videos/d%C3%A9couverte-du-centre-dartisanat-contemporain-likalo-%C3%A0-yaound%C3%A9/454082829184229/

Male"
20,141,"['alternative energy', 'reneweable energy']","['sunflower', 'lighting', 'franciscoagrettibalza', 'solar', 'sunlight', 'radiation', 'student', 'sun', 'electricity', 'prototype', 'illuminated', 'optical', 'light', 'boys', 'optic']","Prototype that ""captures"" sunlight and transmits it to an interior space
Mauricio Tourn, Co-founder of Sustainable Lighting System
franciscoagrettibalza@gmail.com
Mauricio Tourn, Co-founder of Sustainable Lighting System
How to use more natural light and less artificial light in interior spaces? This question was the trigger that planted an idea in three young people, a 17-year-old student and two 18-year-old boys. As a solution to the problem of electricity consumption, a prototype was developed that ""captures"" sunlight and transmits it to an interior space, prioritizing natural and ecological-sustainable energy. The prototype is an interior lighting system that captures and transports sunlight to closed and dimly lit environments. It does not consume electricity, which makes it friendly to the environment and represents a reduction in energy costs. The system consists of three stages. A solar tracker measures the angle of incidence of light on the platform. With this signal, it controls two engines that manage to direct the base in both axes until it is perpendicular to the incidence of the sun. This system manages to track the sun throughout the day just like sunflower plants do. Then a lens on the oriented platform focuses the solar radiation at a point where the entrance of an optical fiber (Core) is located. This circuit can be replicated as many times as necessary depending on the lighting required. Finally, the light concentrated thanks to the collector is transmitted through the fiber towards the environment to be illuminated. At the fiber optic outlet, a diffuser is placed, responsible for distributing the light evenly. 
Prototype System
http://cptsantafe.org/web/tres-jovenes-idearon-atrapar-al-sol-y-dar-luz-a-interiores-fueron-premiados/ 
DIY / open source
Yes
Prototype"
21,106,"['agriculture', 'green technology', 'nature-based solutions', 'irrigation', 'Weather']","['agribusinesses', 'fertilizers', 'farmers', 'irrigation', 'farms']","Smart Green for Agritech Solutions

Smart Green digitizes agribusinesses using Industry 4.0 Technologies. 
Our Smart Systems help farmers to reach the optimum use of water and fertilizers by delivering the precise amount of water and nutrients to plants in a timely manner, thus saving up to 70% of water consumption, all by providing remote control of farms’ irrigation anytime, anywhere, and at a competitive price.
https://sg-agritech.com/"
22,185,"['green ideas', 'green technology', 'health', 'hygiene', 'water management']","['health', 'wifi', 'water', 'connectivity', 'sensors', 'essential', 'sensor', 'tools', 'innovative', 'crucial', 'technology', 'timely', 'monitoring', 'need', 'functionality', 'measuring', 'quality', 'tds']","Measuring the quality of water
Home sensors

Access to good quality, safe water is essential to the health and well-being of communities around the world. However, water quality can vary considerably, and effective tools for real-time monitoring are crucial. In response to this need, an innovative system has been developed that uses sensor technology, WiFi connectivity and cloud services to assess and visualize water quality and provide timely alerts to users.
This is a program for a water quality detector using a home sensor. The program measures water conductivity, calculates the TDS (Total Dissolved Solids) value, and sends the data to ThingSpeak for real-time viewing and monitoring. In addition, it uses the Twilio service to send text messages with the water quality classification according to the ranges established by the World Health Organization (WHO). It also includes functionality to sense water temperature using a DS18B20 sensor."
